id,category_id,text_content_id,created_at,updated_at
1,23,1,09/17/2009 21:14:49,09/17/2009 21:14:49
2,26,2,09/17/2009 21:14:49,09/17/2009 21:14:49
3,16,3,09/17/2009 21:14:49,09/17/2009 21:14:49
4,21,4,09/17/2009 21:14:49,09/17/2009 21:14:49
5,24,5,09/17/2009 21:14:49,09/17/2009 21:14:49
6,22,6,09/17/2009 21:14:49,09/17/2009 21:14:49
7,17,7,09/17/2009 21:14:49,09/17/2009 21:14:49
8,18,8,09/17/2009 21:14:49,09/17/2009 21:14:49
9,19,9,09/17/2009 21:14:49,09/17/2009 21:14:49
10,20,10,09/17/2009 21:14:49,09/17/2009 21:14:49
11,16,11,09/17/2009 21:14:49,09/17/2009 21:14:49
12,21,12,09/17/2009 21:14:49,09/17/2009 21:14:49
13,24,13,09/17/2009 21:14:49,09/17/2009 21:14:49
14,22,14,09/17/2009 21:14:49,09/17/2009 21:14:49
15,16,15,09/17/2009 21:14:49,09/17/2009 21:14:49
16,16,16,09/17/2009 21:14:49,09/17/2009 21:14:49
17,21,17,09/17/2009 21:14:49,09/17/2009 21:14:49
18,22,18,09/17/2009 21:14:49,09/17/2009 21:14:49
19,24,19,09/17/2009 21:14:49,09/17/2009 21:14:49
20,16,20,09/17/2009 21:14:49,09/17/2009 21:14:49
21,21,21,09/17/2009 21:14:49,09/17/2009 21:14:49
22,22,22,09/17/2009 21:14:49,09/17/2009 21:14:49
23,24,23,09/17/2009 21:14:49,09/17/2009 21:14:49
24,16,24,09/17/2009 21:14:49,09/17/2009 21:14:49
25,21,25,09/17/2009 21:14:49,09/17/2009 21:14:49
26,24,26,09/17/2009 21:14:49,09/17/2009 21:14:49
27,22,27,09/17/2009 21:14:49,09/17/2009 21:14:49
28,16,28,09/17/2009 21:14:49,09/17/2009 21:14:49
29,21,29,09/17/2009 21:14:49,09/17/2009 21:14:49
30,24,30,09/17/2009 21:14:50,09/17/2009 21:14:50
31,22,31,09/17/2009 21:14:50,09/17/2009 21:14:50
32,16,32,09/17/2009 21:14:50,09/17/2009 21:14:50
33,21,33,09/17/2009 21:14:50,09/17/2009 21:14:50
34,24,34,09/17/2009 21:14:50,09/17/2009 21:14:50
35,22,35,09/17/2009 21:14:50,09/17/2009 21:14:50
36,17,36,09/17/2009 21:14:50,09/17/2009 21:14:50
37,18,37,09/17/2009 21:14:50,09/17/2009 21:14:50
