id,tag_id,taggable_id,tagger_id,tagger_type,taggable_type,context,created_at
1,9,1,,,TextContent,sext,09/17/2009 21:14:49
2,9,2,,,TextContent,sext,09/17/2009 21:14:49
3,15,3,,,TextContent,sext,09/17/2009 21:14:49
4,15,4,,,TextContent,sext,09/17/2009 21:14:49
5,15,5,,,TextContent,sext,09/17/2009 21:14:49
6,15,6,,,TextContent,sext,09/17/2009 21:14:49
7,1,7,,,TextContent,sext,09/17/2009 21:14:49
8,1,8,,,TextContent,sext,09/17/2009 21:14:49
9,1,9,,,TextContent,sext,09/17/2009 21:14:49
10,1,10,,,TextContent,sext,09/17/2009 21:14:49
11,10,11,,,TextContent,sext,09/17/2009 21:14:49
12,10,12,,,TextContent,sext,09/17/2009 21:14:49
13,10,13,,,TextContent,sext,09/17/2009 21:14:49
14,10,14,,,TextContent,sext,09/17/2009 21:14:49
15,16,15,,,TextContent,sext,09/17/2009 21:14:49
16,25,16,,,TextContent,sext,09/17/2009 21:14:49
17,25,17,,,TextContent,sext,09/17/2009 21:14:49
18,25,18,,,TextContent,sext,09/17/2009 21:14:49
19,25,19,,,TextContent,sext,09/17/2009 21:14:49
20,26,20,,,TextContent,sext,09/17/2009 21:14:49
21,26,21,,,TextContent,sext,09/17/2009 21:14:49
22,26,22,,,TextContent,sext,09/17/2009 21:14:49
23,26,23,,,TextContent,sext,09/17/2009 21:14:49
24,18,24,,,TextContent,sext,09/17/2009 21:14:49
25,18,25,,,TextContent,sext,09/17/2009 21:14:49
26,18,26,,,TextContent,sext,09/17/2009 21:14:49
27,18,27,,,TextContent,sext,09/17/2009 21:14:49
28,19,28,,,TextContent,sext,09/17/2009 21:14:49
29,19,29,,,TextContent,sext,09/17/2009 21:14:49
30,19,30,,,TextContent,sext,09/17/2009 21:14:50
31,19,31,,,TextContent,sext,09/17/2009 21:14:50
32,20,32,,,TextContent,sext,09/17/2009 21:14:50
33,20,33,,,TextContent,sext,09/17/2009 21:14:50
34,20,34,,,TextContent,sext,09/17/2009 21:14:50
35,20,35,,,TextContent,sext,09/17/2009 21:14:50
36,3,36,,,TextContent,sext,09/17/2009 21:14:50
37,3,37,,,TextContent,sext,09/17/2009 21:14:50
38,3,38,,,TextContent,sext,09/17/2009 21:14:50
39,3,39,,,TextContent,sext,09/17/2009 21:14:50
40,4,40,,,TextContent,sext,09/17/2009 21:14:50
41,4,41,,,TextContent,sext,09/17/2009 21:14:50
42,4,42,,,TextContent,sext,09/17/2009 21:14:50
43,4,43,,,TextContent,sext,09/17/2009 21:14:50
44,7,44,,,TextContent,sext,09/17/2009 21:14:50
45,7,45,,,TextContent,sext,09/17/2009 21:14:50
46,7,46,,,TextContent,sext,09/17/2009 21:14:50
47,2,47,,,TextContent,sext,09/17/2009 21:14:50
48,2,48,,,TextContent,sext,09/17/2009 21:14:50
49,2,49,,,TextContent,sext,09/17/2009 21:14:50
50,2,50,,,TextContent,sext,09/17/2009 21:14:50
51,2,51,,,TextContent,sext,09/17/2009 21:14:50
52,14,52,,,TextContent,sext,09/17/2009 21:14:50
53,14,53,,,TextContent,sext,09/17/2009 21:14:50
54,14,54,,,TextContent,sext,09/17/2009 21:14:50
55,14,55,,,TextContent,sext,09/17/2009 21:14:50
56,28,56,,,TextContent,sext,09/17/2009 21:14:50
57,28,57,,,TextContent,sext,09/17/2009 21:14:50
58,28,58,,,TextContent,sext,09/17/2009 21:14:50
59,28,59,,,TextContent,sext,09/17/2009 21:14:50
60,17,60,,,TextContent,sext,09/17/2009 21:14:50
61,17,61,,,TextContent,sext,09/17/2009 21:14:50
62,17,62,,,TextContent,sext,09/17/2009 21:14:50
63,17,63,,,TextContent,sext,09/17/2009 21:14:50
64,12,64,,,TextContent,sext,09/17/2009 21:14:50
65,12,65,,,TextContent,sext,09/17/2009 21:14:50
66,12,66,,,TextContent,sext,09/17/2009 21:14:50
67,12,67,,,TextContent,sext,09/17/2009 21:14:50
68,8,68,,,TextContent,sext,09/17/2009 21:14:50
69,8,69,,,TextContent,sext,09/17/2009 21:14:50
70,8,70,,,TextContent,sext,09/17/2009 21:14:50
71,11,71,,,TextContent,sext,09/17/2009 21:14:50
72,11,72,,,TextContent,sext,09/17/2009 21:14:50
73,11,73,,,TextContent,sext,09/17/2009 21:14:50
74,11,74,,,TextContent,sext,09/17/2009 21:14:50
75,21,75,,,TextContent,sext,09/17/2009 21:14:50
76,13,76,,,TextContent,sext,09/17/2009 21:14:51
77,13,77,,,TextContent,sext,09/17/2009 21:14:51
78,13,78,,,TextContent,sext,09/17/2009 21:14:51
79,13,79,,,TextContent,sext,09/17/2009 21:14:51
80,24,80,,,TextContent,sext,09/17/2009 21:14:51
